id,full_name,url,stars,forks,commits,open_issue,closed_issue,collaborators
90321822,pytorch/audio,https://api.github.com/repos/pytorch/audio,1594,387,1919,159,581,175
135673451,microsoft/nni,https://api.github.com/repos/microsoft/nni,11015,1567,2905,257,1583,172
5241312,halide/Halide,https://api.github.com/repos/halide/Halide,4824,954,22749,797,1441,169
82841862,OpenNMT/OpenNMT-py,https://api.github.com/repos/OpenNMT/OpenNMT-py,5467,2076,2711,16,1345,168
297697041,kssteven418/I-BERT,https://api.github.com/repos/kssteven418/I-BERT,97,13,1540,22,6,167
66823715,intel-analytics/BigDL,https://api.github.com/repos/intel-analytics/BigDL,3842,967,19489,531,1136,165
390650144,Yuxiang1995/ICDAR2021_MFD,https://api.github.com/repos/Yuxiang1995/ICDAR2021_MFD,75,23,1359,4,9,165
235860204,microsoft/DeepSpeed,https://api.github.com/repos/microsoft/DeepSpeed,6322,726,1362,542,715,162
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15535,2347,2277,1533,629,160
347789090,xingyizhou/CenterNet2,https://api.github.com/repos/xingyizhou/CenterNet2,1004,153,1337,50,34,160
221654678,deepset-ai/haystack,https://api.github.com/repos/deepset-ai/haystack,4207,682,1976,302,1642,157
114898943,SeldonIO/seldon-core,https://api.github.com/repos/SeldonIO/seldon-core,2948,637,7235,53,2054,155
75413130,isl-org/Open3D,https://api.github.com/repos/isl-org/Open3D,6227,1554,3954,760,2411,155
213238221,memray/OpenNMT-kpg-release,https://api.github.com/repos/memray/OpenNMT-kpg-release,139,25,2639,0,56,154
99846383,horovod/horovod,https://api.github.com/repos/horovod/horovod,12145,2011,1300,334,1806,154
204086862,streamlit/streamlit,https://api.github.com/repos/streamlit/streamlit,17814,1598,5300,591,2483,153
43098215,deepchem/deepchem,https://api.github.com/repos/deepchem/deepchem,3439,1275,8089,480,1060,150
144268544,elbayadm/attn2d,https://api.github.com/repos/elbayadm/attn2d,482,73,1308,3,7,147
153097694,openvinotoolkit/open_model_zoo,https://api.github.com/repos/openvinotoolkit/open_model_zoo,3035,1072,8558,44,355,145
321615949,tztztztztz/eqlv2,https://api.github.com/repos/tztztztztz/eqlv2,89,14,1148,12,15,145
279707624,Taeung/pytorch-example,https://api.github.com/repos/Taeung/pytorch-example,12,744,504,0,0,145
277549433,akshitagupta15june/Face-X,https://api.github.com/repos/akshitagupta15june/Face-X,142,218,3511,37,438,144
403722591,wmcnally/kapao,https://api.github.com/repos/wmcnally/kapao,440,51,1709,25,63,143
289334021,Azure/azureml-examples,https://api.github.com/repos/Azure/azureml-examples,300,261,858,74,129,143
110274488,facebook/pyre-check,https://api.github.com/repos/facebook/pyre-check,5777,382,13690,109,232,140
178976529,bentoml/BentoML,https://api.github.com/repos/bentoml/BentoML,3242,378,2289,125,696,140
198232685,deepmind/open_spiel,https://api.github.com/repos/deepmind/open_spiel,3085,649,3676,35,415,138
214485001,Project-MONAI/MONAI,https://api.github.com/repos/Project-MONAI/MONAI,2746,532,2542,246,2062,135
76210069,pytorch/text,https://api.github.com/repos/pytorch/text,2950,697,1257,241,486,135
217475193,PaddlePaddle/PaddleDetection,https://api.github.com/repos/PaddlePaddle/PaddleDetection,6365,1624,2113,843,3630,134
239880741,urvashik/knnlm,https://api.github.com/repos/urvashik/knnlm,168,31,1151,4,2,134
81634683,Oneflow-Inc/oneflow,https://api.github.com/repos/Oneflow-Inc/oneflow,3023,367,9222,244,545,133
102904613,Unity-Technologies/ml-agents,https://api.github.com/repos/Unity-Technologies/ml-agents,12452,3327,3459,113,2619,133
272133018,open-mmlab/mmsegmentation,https://api.github.com/repos/open-mmlab/mmsegmentation,3183,1101,573,228,1370,133
129936360,PennyLaneAI/pennylane,https://api.github.com/repos/PennyLaneAI/pennylane,1169,353,3167,195,698,128
94506832,pyro-ppl/pyro,https://api.github.com/repos/pyro-ppl/pyro,7316,895,2375,209,786,127
342336290,xingyizhou/UniDet,https://api.github.com/repos/xingyizhou/UniDet,326,38,975,15,4,125
163346054,ludwig-ai/ludwig,https://api.github.com/repos/ludwig-ai/ludwig,8136,970,3349,214,683,124
143080897,facebookresearch/pytext,https://api.github.com/repos/facebookresearch/pytext,6276,814,1735,61,74,120
95862535,apple/coremltools,https://api.github.com/repos/apple/coremltools,2560,400,1021,192,918,120
30509483,clab/dynet,https://api.github.com/repos/clab/dynet,3279,704,3272,264,665,119
212488700,pytorch/serve,https://api.github.com/repos/pytorch/serve,2431,469,3333,207,952,117
259710503,speechbrain/speechbrain,https://api.github.com/repos/speechbrain/speechbrain,3745,695,7769,101,739,116
156293205,pytorch/xla,https://api.github.com/repos/pytorch/xla,1548,246,3403,217,1105,114
122896249,dmlc/gluon-cv,https://api.github.com/repos/dmlc/gluon-cv,5066,1136,900,42,775,113
313501668,wenet-e2e/wenet,https://api.github.com/repos/wenet-e2e/wenet,1797,461,1116,57,567,111
68254498,cleverhans-lab/cleverhans,https://api.github.com/repos/cleverhans-lab/cleverhans,5410,1351,3203,25,422,110
76095264,autorope/donkeycar,https://api.github.com/repos/autorope/donkeycar,2215,1142,2174,81,326,110
261372860,DLR-RM/stable-baselines3,https://api.github.com/repos/DLR-RM/stable-baselines3,2981,668,744,66,892,108
4733263,FCP-INDI/C-PAC,https://api.github.com/repos/FCP-INDI/C-PAC,30,27,7622,335,792,106
355486066,SkafteNicki/dtu_mlops,https://api.github.com/repos/SkafteNicki/dtu_mlops,79,120,644,1,1,105
150154628,pytorch/FBGEMM,https://api.github.com/repos/pytorch/FBGEMM,766,237,1527,18,80,104
234634164,aws/deep-learning-containers,https://api.github.com/repos/aws/deep-learning-containers,363,218,1882,101,63,103
265612440,coqui-ai/TTS,https://api.github.com/repos/coqui-ai/TTS,4025,381,4214,19,488,102
287463830,microsoft/qlib,https://api.github.com/repos/microsoft/qlib,8074,1386,1901,171,514,102
130725814,NVIDIA/apex,https://api.github.com/repos/NVIDIA/apex,6092,937,1090,562,494,101
90328920,intel-analytics/analytics-zoo,https://api.github.com/repos/intel-analytics/analytics-zoo,2474,713,3442,407,854,99
247266215,JaidedAI/EasyOCR,https://api.github.com/repos/JaidedAI/EasyOCR,13824,1874,569,170,558,99
198616978,UKPLab/sentence-transformers,https://api.github.com/repos/UKPLab/sentence-transformers,7105,1411,1191,866,768,98
145385156,catalyst-team/catalyst,https://api.github.com/repos/catalyst-team/catalyst,2846,354,1698,3,344,97
422274596,hpcaitech/ColossalAI,https://api.github.com/repos/hpcaitech/ColossalAI,888,119,2054,243,367,96
267233794,joe-siyuan-qiao/DetectoRS,https://api.github.com/repos/joe-siyuan-qiao/DetectoRS,1066,191,816,46,46,96
151636194,triton-inference-server/server,https://api.github.com/repos/triton-inference-server/server,3277,770,2913,204,2336,95
154843614,openvinotoolkit/training_extensions,https://api.github.com/repos/openvinotoolkit/training_extensions,974,373,5302,14,256,94
93868719,cornellius-gp/gpytorch,https://api.github.com/repos/cornellius-gp/gpytorch,2684,411,3748,299,905,93
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7694,2172,1387,171,544,93
368783708,GEM-benchmark/NL-Augmenter,https://api.github.com/repos/GEM-benchmark/NL-Augmenter,564,174,2392,19,30,92
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2797,778,11174,90,669,91
281528773,intel/neural-compressor,https://api.github.com/repos/intel/neural-compressor,299,56,2477,10,82,90
278415292,open-mmlab/mmclassification,https://api.github.com/repos/open-mmlab/mmclassification,1084,389,627,38,526,90
60626727,tensorlayer/TensorLayer,https://api.github.com/repos/tensorlayer/TensorLayer,6889,1542,3353,21,441,89
305144746,geohot/tinygrad,https://api.github.com/repos/geohot/tinygrad,5175,587,1625,21,147,89
132067444,PyTorchKorea/tutorials-kr,https://api.github.com/repos/PyTorchKorea/tutorials-kr,224,138,635,19,297,89
212747520,ThilinaRajapakse/simpletransformers,https://api.github.com/repos/ThilinaRajapakse/simpletransformers,2982,618,1866,31,1032,88
67240429,pytorch/builder,https://api.github.com/repos/pytorch/builder,208,156,2147,43,38,87
217433767,facebookresearch/pytorch3d,https://api.github.com/repos/facebookresearch/pytorch3d,5655,809,1040,148,1096,87
323591830,huggingface/huggingface_hub,https://api.github.com/repos/huggingface/huggingface_hub,346,78,914,78,340,87
119894375,kubeflow/examples,https://api.github.com/repos/kubeflow/examples,1118,611,531,11,378,87
169880381,facebook/Ax,https://api.github.com/repos/facebook/Ax,1711,187,2293,24,475,86
137125898,Qiskit/qiskit-aqua,https://api.github.com/repos/Qiskit/qiskit-aqua,557,391,6297,10,418,85
148566613,mlcommons/inference,https://api.github.com/repos/mlcommons/inference,578,334,1342,40,526,85
376789478,TomMao23/multiyolov5,https://api.github.com/repos/TomMao23/multiyolov5,241,87,1101,0,23,85
249562709,WXinlong/SOLO,https://api.github.com/repos/WXinlong/SOLO,1360,253,783,116,112,85
204734444,pytorch/captum,https://api.github.com/repos/pytorch/captum,2956,318,1003,122,304,84
368508598,zhangjinsong3/SOLOv2.tensorRT,https://api.github.com/repos/zhangjinsong3/SOLOv2.tensorRT,34,20,780,8,12,84
104741169,microsoft/pai,https://api.github.com/repos/microsoft/pai,2255,496,4518,249,1837,83
283871761,llvm/torch-mlir,https://api.github.com/repos/llvm/torch-mlir,321,80,1805,106,291,83
98565575,facebookresearch/ReAgent,https://api.github.com/repos/facebookresearch/ReAgent,3123,453,1525,31,75,82
236504589,stereolabs/zed-pytorch,https://api.github.com/repos/stereolabs/zed-pytorch,31,14,237,0,9,82
138831170,facebookresearch/mmf,https://api.github.com/repos/facebookresearch/mmf,4799,828,1079,150,486,81
23496542,openai/triton,https://api.github.com/repos/openai/triton,3505,264,716,121,315,81
128121076,dmlc/gluon-nlp,https://api.github.com/repos/dmlc/gluon-nlp,2372,524,843,234,296,79
135768037,NVIDIA/DALI,https://api.github.com/repos/NVIDIA/DALI,3717,480,3015,219,1126,78
154412076,IntelAI/models,https://api.github.com/repos/IntelAI/models,342,141,2528,24,30,78
253846879,determined-ai/determined,https://api.github.com/repos/determined-ai/determined,1639,203,5116,23,233,77
278003645,open-mmlab/mmpose,https://api.github.com/repos/open-mmlab/mmpose,1634,387,788,159,745,77
148657183,unit8co/darts,https://api.github.com/repos/unit8co/darts,3709,354,952,195,706,76
441467833,open-mmlab/mmdeploy,https://api.github.com/repos/open-mmlab/mmdeploy,608,96,829,188,668,75
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3931,1167,11334,603,931,74
150974871,fastai/fastai_dev,https://api.github.com/repos/fastai/fastai_dev,608,347,2895,6,62,74
92541759,pytorch/benchmark,https://api.github.com/repos/pytorch/benchmark,354,97,895,71,413,74
45495679,EpistasisLab/tpot,https://api.github.com/repos/EpistasisLab/tpot,8445,1454,2390,268,607,72
214003948,PennyLaneAI/qml,https://api.github.com/repos/PennyLaneAI/qml,285,86,714,20,70,72
205501574,THUDM/KBRD,https://api.github.com/repos/THUDM/KBRD,106,21,2581,1,21,71
112676803,apple/turicreate,https://api.github.com/repos/apple/turicreate,10593,1122,1571,493,1293,71
201769737,ZJULearning/ttfnet,https://api.github.com/repos/ZJULearning/ttfnet,444,83,705,35,16,71
254817858,ScottKwang/CodeWithFriends-Spring2020,https://api.github.com/repos/ScottKwang/CodeWithFriends-Spring2020,34,109,115,1,2,71
262717238,cywang97/StreamingTransformer,https://api.github.com/repos/cywang97/StreamingTransformer,234,38,7660,10,9,70
69576253,GoogleCloudPlatform/cloudml-samples,https://api.github.com/repos/GoogleCloudPlatform/cloudml-samples,1453,869,1198,0,207,70
277982133,open-mmlab/mmdetection3d,https://api.github.com/repos/open-mmlab/mmdetection3d,2056,566,1100,172,965,70
136846372,rlworkgroup/garage,https://api.github.com/repos/rlworkgroup/garage,1404,247,1221,196,807,69
52581991,snorkel-team/snorkel,https://api.github.com/repos/snorkel-team/snorkel,5029,810,2685,17,957,68
191126383,allegroai/clearml,https://api.github.com/repos/allegroai/clearml,3007,412,2009,354,387,68
142940093,pytorch/botorch,https://api.github.com/repos/pytorch/botorch,2196,247,1463,56,309,68
165826654,deepmind/deepmind-research,https://api.github.com/repos/deepmind/deepmind-research,9679,1976,356,140,133,68
88885145,bfortuner/ml-glossary,https://api.github.com/repos/bfortuner/ml-glossary,2425,625,161,15,19,68
30907774,spmallick/learnopencv,https://api.github.com/repos/spmallick/learnopencv,15702,9910,2143,197,86,67
94218531,lanpa/tensorboardX,https://api.github.com/repos/lanpa/tensorboardX,7240,850,505,70,370,67
100464123,microsoft/MMdnn,https://api.github.com/repos/microsoft/MMdnn,5515,977,1084,324,289,66
355559187,open-mmlab/mmocr,https://api.github.com/repos/open-mmlab/mmocr,2145,356,1038,91,674,66
386811486,Megvii-BaseDetection/YOLOX,https://api.github.com/repos/Megvii-BaseDetection/YOLOX,5737,1242,195,600,749,66
342388745,facebookresearch/Kats,https://api.github.com/repos/facebookresearch/Kats,3521,335,646,36,130,63
288774122,Project-MONAI/tutorials,https://api.github.com/repos/Project-MONAI/tutorials,495,264,601,46,396,63
203999962,open-mmlab/mmediting,https://api.github.com/repos/open-mmlab/mmediting,2743,530,1367,40,517,62
289107293,microsoft/FLAML,https://api.github.com/repos/microsoft/FLAML,1769,235,586,110,243,62
223904726,wang-xinyu/tensorrtx,https://api.github.com/repos/wang-xinyu/tensorrtx,3699,1072,368,46,1021,62
180512165,tianzhi0549/FCOS,https://api.github.com/repos/tianzhi0549/FCOS,2866,572,292,199,171,62
65924871,probml/pyprobml,https://api.github.com/repos/probml/pyprobml,4283,996,2997,30,421,61
278810244,open-mmlab/mmaction2,https://api.github.com/repos/open-mmlab/mmaction2,1716,543,1694,93,967,61
416157128,mosaicml/composer,https://api.github.com/repos/mosaicml/composer,207,20,1520,51,379,61
277899703,facebookresearch/fairscale,https://api.github.com/repos/facebookresearch/fairscale,1628,156,695,60,272,61
245990228,tztztztztz/eql.detectron2,https://api.github.com/repos/tztztztztz/eql.detectron2,176,16,308,3,12,61
108200238,geomstats/geomstats,https://api.github.com/repos/geomstats/geomstats,698,146,9552,185,309,60
205706595,mlrun/mlrun,https://api.github.com/repos/mlrun/mlrun,576,122,2905,57,159,59
130885307,pytorch/translate,https://api.github.com/repos/pytorch/translate,726,189,813,11,27,59
25311354,explosion/thinc,https://api.github.com/repos/explosion/thinc,2456,237,5222,16,115,58
245145949,ContinualAI/avalanche,https://api.github.com/repos/ContinualAI/avalanche,744,115,3127,78,559,57
215860519,flyteorg/flytesnacks,https://api.github.com/repos/flyteorg/flytesnacks,37,42,540,0,0,57
342885422,Qiskit/qiskit-machine-learning,https://api.github.com/repos/Qiskit/qiskit-machine-learning,230,151,535,20,148,57
88612945,junyanz/pytorch-CycleGAN-and-pix2pix,https://api.github.com/repos/junyanz/pytorch-CycleGAN-and-pix2pix,16873,5092,523,454,928,57
380467096,k2-fsa/icefall,https://api.github.com/repos/k2-fsa/icefall,168,51,761,169,143,56
169164391,facebookresearch/habitat-lab,https://api.github.com/repos/facebookresearch/habitat-lab,790,272,563,89,411,56
208358969,facebookresearch/ClassyVision,https://api.github.com/repos/facebookresearch/ClassyVision,1411,246,419,14,63,56
145148726,Azure/MachineLearningNotebooks,https://api.github.com/repos/Azure/MachineLearningNotebooks,2865,2066,1261,315,1052,55
338456109,facebookresearch/d2go,https://api.github.com/repos/facebookresearch/d2go,641,81,557,35,94,55
184657328,NVIDIA/TensorRT,https://api.github.com/repos/NVIDIA/TensorRT,4912,1220,453,188,2195,55
16996386,RoboJackets/igvc-software,https://api.github.com/repos/RoboJackets/igvc-software,78,126,6860,76,388,54
241095326,adap/flower,https://api.github.com/repos/adap/flower,765,193,1060,146,171,54
387786881,huggingface/optimum,https://api.github.com/repos/huggingface/optimum,319,25,544,81,173,54
359624909,pytorch/functorch,https://api.github.com/repos/pytorch/functorch,609,41,1314,238,283,53
215890886,google-research/text-to-text-transfer-transformer,https://api.github.com/repos/google-research/text-to-text-transfer-transformer,3972,553,584,51,342,53
76109394,pytorch/tnt,https://api.github.com/repos/pytorch/tnt,1364,196,452,0,60,53
281519510,FedML-AI/FedML,https://api.github.com/repos/FedML-AI/FedML,1036,321,5549,99,155,52
258529948,lhotse-speech/lhotse,https://api.github.com/repos/lhotse-speech/lhotse,402,83,2350,68,209,52
323651234,EleutherAI/gpt-neox,https://api.github.com/repos/EleutherAI/gpt-neox,1709,193,1932,51,223,52
180455099,data-integration-toolkit/ditk,https://api.github.com/repos/data-integration-toolkit/ditk,18,74,1238,0,0,52
93721432,awslabs/sockeye,https://api.github.com/repos/awslabs/sockeye,1048,307,827,1,295,52
157813180,microsoft/ai-edu,https://api.github.com/repos/microsoft/ai-edu,10609,2579,658,62,66,52
346639494,openvinotoolkit/openvino_notebooks,https://api.github.com/repos/openvinotoolkit/openvino_notebooks,541,119,511,16,119,52
82524265,hunkim/DeepLearningZeroToAll,https://api.github.com/repos/hunkim/DeepLearningZeroToAll,4265,2728,335,0,75,52
61130280,rwth-i6/returnn,https://api.github.com/repos/rwth-i6/returnn,313,127,9949,102,364,51
71472695,PythonOT/POT,https://api.github.com/repos/PythonOT/POT,1389,392,1400,32,146,51
119419202,wandb/examples,https://api.github.com/repos/wandb/examples,637,190,811,0,76,51
321305310,Oneflow-Inc/models,https://api.github.com/repos/Oneflow-Inc/models,35,24,218,9,25,51
196375756,kkech/UdacityOpenSource,https://api.github.com/repos/kkech/UdacityOpenSource,23,194,165,0,0,51
40307735,flatironinstitute/CaImAn,https://api.github.com/repos/flatironinstitute/CaImAn,444,296,3991,41,540,50
97533515,skorch-dev/skorch,https://api.github.com/repos/skorch-dev/skorch,4370,307,1032,50,411,50
309381188,openvinotoolkit/openvino_contrib,https://api.github.com/repos/openvinotoolkit/openvino_contrib,48,49,654,1,54,50
183506381,google/TensorNetwork,https://api.github.com/repos/google/TensorNetwork,1549,333,566,110,239,50
138826968,XiaoMi/mace,https://api.github.com/repos/XiaoMi/mace,4576,790,3344,51,617,49
100326126,plaidml/plaidml,https://api.github.com/repos/plaidml/plaidml,4337,407,1987,275,322,49
140325970,cmu-db/noisepage,https://api.github.com/repos/cmu-db/noisepage,1448,410,879,180,416,49
226441159,pytorch/opacus,https://api.github.com/repos/pytorch/opacus,1056,181,688,52,179,49
123751406,dask/dask-examples,https://api.github.com/repos/dask/dask-examples,297,196,330,15,49,49
141988388,nnstreamer/nnstreamer,https://api.github.com/repos/nnstreamer/nnstreamer,457,125,3357,85,1379,48
215173055,QData/TextAttack,https://api.github.com/repos/QData/TextAttack,1849,230,2582,24,208,48
16139078,robocomp/robocomp-robolab,https://api.github.com/repos/robocomp/robocomp-robolab,11,37,1611,6,5,48
256061008,intel/intel-extension-for-pytorch,https://api.github.com/repos/intel/intel-extension-for-pytorch,262,51,1494,44,135,48
169164539,facebookresearch/habitat-sim,https://api.github.com/repos/facebookresearch/habitat-sim,1373,268,1379,65,532,48
198350484,microsoft/unilm,https://api.github.com/repos/microsoft/unilm,4568,910,912,280,597,48
186706933,Azure-Samples/azure-intelligent-edge-patterns,https://api.github.com/repos/Azure-Samples/azure-intelligent-edge-patterns,101,122,5378,31,22,47
26652340,gadgetron/gadgetron,https://api.github.com/repos/gadgetron/gadgetron,180,147,5037,13,234,47
102057483,deepinsight/insightface,https://api.github.com/repos/deepinsight/insightface,11228,3646,2185,1200,919,47
123486600,microsoft/Windows-Machine-Learning,https://api.github.com/repos/microsoft/Windows-Machine-Learning,794,368,1729,5,116,47
263687600,openvinotoolkit/nncf,https://api.github.com/repos/openvinotoolkit/nncf,405,102,1230,23,212,47
256832500,castorini/pygaggle,https://api.github.com/repos/castorini/pygaggle,162,74,193,18,61,47
24376854,libxsmm/libxsmm,https://api.github.com/repos/libxsmm/libxsmm,604,152,17968,7,278,46
137789266,nyu-mll/jiant,https://api.github.com/repos/nyu-mll/jiant,1373,266,1930,67,485,46
215969476,asteroid-team/asteroid,https://api.github.com/repos/asteroid-team/asteroid,1290,305,899,25,170,46
78508757,SeanNaren/deepspeech.pytorch,https://api.github.com/repos/SeanNaren/deepspeech.pytorch,1848,596,517,0,494,46
416849738,facebookresearch/xformers,https://api.github.com/repos/facebookresearch/xformers,635,38,466,71,126,46
129815042,thu-ml/tianshou,https://api.github.com/repos/thu-ml/tianshou,4312,683,369,53,448,46
45568899,LCAD-UFES/carmen_lcad,https://api.github.com/repos/LCAD-UFES/carmen_lcad,40,18,8490,3,1,45
271579390,RUCAIBox/RecBole,https://api.github.com/repos/RUCAIBox/RecBole,1632,293,4185,56,573,45
247410025,hasanirtiza/Pedestron,https://api.github.com/repos/hasanirtiza/Pedestron,514,118,740,0,149,45
173333035,qubvel/segmentation_models.pytorch,https://api.github.com/repos/qubvel/segmentation_models.pytorch,4917,982,215,12,499,45
23229909,Kitware/kwiver,https://api.github.com/repos/Kitware/kwiver,167,76,11459,90,54,44
280276446,pytorch/kineto,https://api.github.com/repos/pytorch/kineto,224,66,379,34,110,44
127351529,mlcommons/training,https://api.github.com/repos/mlcommons/training,1266,454,290,16,239,44
